soggetto;data_ora_scatto;perimetro_px;perimetro_mm;area_pixel;area_mm;lato_pixel
C_R1;2021-09-03 20-01-36;985;87.702;16918;26.824;56.156
C_R1;2021-09-05 23-44-51;7819;685.937;110766;170.492;56.995
C_R1;2021-09-07 03-40-38;14340;1266.046;209349;326.364;56.633
C_R1;2021-09-07 23-46-43;18400;1622.232;258788;402.313;56.712
C_R1;2021-09-08 22-37-01;22575;2008.523;317878;503.256;56.198
C_R1;2021-09-10 11-40-31;25947;2227.401;353558;521.091;58.245
C_R2;2021-09-03 20-10-22;127;11.211;1045;1.629;56.642
C_R2;2021-09-05 23-56-35;1566;137.673;27596;42.657;56.874
C_R2;2021-09-07 03-50-14;7150;635.138;120185;189.672;56.287
C_R2;2021-09-07 23-32-23;8671;765.854;138292;215.765;56.61
C_R2;2021-09-08 22-46-23;11997;1067.577;196975;311.956;56.188
C_R2;2021-09-10 11-28-15;17983;1548.47;253595;376.055;58.067
C_R3;2021-09-03 04-55-53;483;42.656;8581;13.385;56.616
C_R3;2021-09-03 20-20-28;1011;89.142;17811;27.694;56.707
C_R3;2021-09-06 00-55-54;7493;658.806;123663;191.194;56.868
C_R3;2021-09-07 04-07-16;19663;1736.217;294463;459.165;56.626
C_R3;2021-09-07 23-19-45;16067;1410.921;235828;363.715;56.938
C_R3;2021-09-08 23-00-00;18984;1686.927;266504;420.873;56.268
C_R3;2021-09-10 11-15-44;19731;1700.215;270821;402.181;58.025
C_R4;2021-09-02 00-24-49;163;14.625;1728;2.782;55.726
C_R4;2021-09-02 22-08-42;510;44.534;8566;13.064;57.259
C_R4;2021-09-03 19-26-31;1300;114.914;22153;34.62;56.564
C_R4;2021-09-05 22-14-20;6788;600.113;98128;153.393;56.556
C_R4;2021-09-07 02-46-00;16422;1457.298;238080;374.971;56.344
C_R4;2021-09-07 20-41-03;19949;1764.274;270062;422.458;56.536
C_R4;2021-09-08 21-24-54;26909;2409.646;354086;567.872;55.836
C_R4;2021-09-10 10-05-00;27271;0;347202;0;0
C_R5;2021-09-02 00-14-58;80;7.048;1490;2.313;56.753
C_R5;2021-09-02 22-49-04;234;20.147;3430;5.085;58.074
C_R5;2021-09-03 19-38-00;381;33.17;4746;7.194;57.432
C_R5;2021-09-05 22-40-52;2447;216.767;41971;65.872;56.443
C_R5;2021-09-07 03-01-49;7824;684.072;140400;214.656;57.187
C_R5;2021-09-07 21-03-45;11251;0;198339;0;0
C_R5;2021-09-08 21-43-35;14769;1302.588;245685;382.226;56.691
C_R5;2021-09-10 10-34-30;21400;1831.063;325508;476.618;58.436
C_R6;2021-09-02 00-00-44;52;0;482;0;0
C_R6;2021-09-02 23-18-27;416;36.014;7156;10.727;57.755
C_R6;2021-09-03 19-50-29;1334;117.516;21787;33.815;56.758
C_R6;2021-09-05 23-00-26;9546;827.066;152784;229.375;57.71
C_R6;2021-09-07 03-21-52;18522;1645.61;276552;436.601;56.277
C_R6;2021-09-07 21-27-13;23975;2120.856;346066;541.619;56.522
C_R6;2021-09-08 22-14-03;28948;2602.535;399761;646.229;55.615
C_R6;2021-09-10 10-46-53;33340;2876.866;463251;689.85;57.945
D_R1;2021-09-01 23-11-08;235;21.007;3372;5.389;55.934
D_R1;2021-09-03 04-31-02;955;84.609;18770;29.466;56.436
D_R1;2021-09-03 20-02-20;1606;140.517;31887;48.822;57.146
D_R1;2021-09-05 23-50-11;9437;830.356;151312;234.296;56.825
